"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL"
"28","4983","#8PGC89CL","dawoud77","167","178","8","#YRGYC0Y2","TourneyAlliance","YQo-xhjJ9o-1DRBNwMf4ryoN7Os7b4E_e9OdDqFdM2s"
"35","4976","#P90CQGGC","Saeed Talib","141","189","10","#PRP8PUL","ARAB CHAMPIONS™","kgK0jc04dM9UHn56N7KctM44c_Or4ZSkzA1XOqURheY"
"37","4975","#GULCU0JC","Hacker","153","228","2","#PRP8PUL","ARAB CHAMPIONS™","kgK0jc04dM9UHn56N7KctM44c_Or4ZSkzA1XOqURheY"
"38","4974","#9YY20GUU","piepipper","135","425","11","#PY9Y8CL","(;)™","ncwnIvqHq0Fb3YWSWUNIoguTxOqQ2D2046RvbS7kjX8"
"43","4964","#Y0V8GLU0","piepipper","156","201","17","#YLQR2VU0","QW Pie Bakery","owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c"
"44","4963","#P2VUJ99L","Delay No More","132","158","7","#YLQR2VU0","QW Pie Bakery","owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c"
"45","4963","#P9GPPYL2","Admiral","144","239","7","#YRGYC0Y2","TourneyAlliance","YQo-xhjJ9o-1DRBNwMf4ryoN7Os7b4E_e9OdDqFdM2s"
"48","4960","#GY989Y0G","爱慕红酒","168","181","9","#PVVQ9QUC","九游-CN.one","h9Us8c5xSoaS0TX0NnG9EUy5eIs-9MpnWEdRxTdD9aU"
"49","4956","#QLJC0GGC","first battle","144","245","4","#PRP8PUL","ARAB CHAMPIONS™","kgK0jc04dM9UHn56N7KctM44c_Or4ZSkzA1XOqURheY"
"65","4945","#RC8YYQVG","iiwk","161","230","3","#YRGYC0Y2","TourneyAlliance","YQo-xhjJ9o-1DRBNwMf4ryoN7Os7b4E_e9OdDqFdM2s"
"68","4944","#QJ0CJV98","The Beatles","193","162","11","#YRGYC0Y2","TourneyAlliance","YQo-xhjJ9o-1DRBNwMf4ryoN7Os7b4E_e9OdDqFdM2s"
"76","4940","#JGQ9CQQC","AL-CONGRESS","151","128","14","#YRGYC0Y2","TourneyAlliance","YQo-xhjJ9o-1DRBNwMf4ryoN7Os7b4E_e9OdDqFdM2s"
"92","4928","#PCLR29QC","Qatar","159","224","4","#YRGYC0Y2","TourneyAlliance","YQo-xhjJ9o-1DRBNwMf4ryoN7Os7b4E_e9OdDqFdM2s"
"105","4920","#9VUP9YV0","Ayman. M","130","305","8","#YRGYC0Y2","TourneyAlliance","YQo-xhjJ9o-1DRBNwMf4ryoN7Os7b4E_e9OdDqFdM2s"
"109","4918","#JPV0VU2V","DIABLO","167","273","3","#PRP8PUL","ARAB CHAMPIONS™","kgK0jc04dM9UHn56N7KctM44c_Or4ZSkzA1XOqURheY"
