"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL"
"126","5330","#QRRVY9UL","Metador","167","174","9","#PCG9G0L2","Come & Take It","JMe3SPkziLGyLOd7WgIqVokwUa4BLvWlE-jI7WSj_00"
"127","5330","#9JJYGJJL","Wheels_007","179","92","10","#YJLRUQY8","HOUSE of CLOUDS","Jj2a5gZ0-XjAHIeJKXM09U_d3d3HACXHSzfsIEzE7d8"
"128","5330","#P98JVPRV","Freak Show","160","135","12","#PG88UPC","Lost Phoenix ","IuD30W8lcoKfT3JwrVAesVApTmgMTPaNCJakp5FaaR4"
"129","5329","#8UYV2JV","AHMAD MALEK","146","136","11","#Q0UU092L","ARAB CHAMPIONS","plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw"
"130","5329","#RYU90QPL","★ALF★","150","165","13","#2V8PUL28","戦場の絆","Z5f15B3vFJThAoECsiugsv2uaaflwp4K-tySPgkaXu0"
"131","5329","#U90CP22R","먹프로","168","165","15","#PGLYC89Q","Once Again⭐️","xxgxQ7psaG0LhvfyfX4hH59EAcXx2tlxOAGkWV33WOs"
"132","5328","#GY0J2UY","MUSTAM 1","173","135","11","#Q0UU092L","ARAB CHAMPIONS","plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw"
"133","5327","#RQGJGULQ","gatuzo","153","152","8","#PCG9G0L2","Come & Take It","JMe3SPkziLGyLOd7WgIqVokwUa4BLvWlE-jI7WSj_00"
"134","5327","#L2LCC8J0","shuntachu","157","147","9","#QY0UQ0U","つよいくらん。","tsbNDyZqWrKKI1EkE3OG35KUf2lGZgdOUm0Lq5PhrvE"
"135","5327","#QCYQPQV0","H_A_M_O_R","153","112","8","#U2YJCRU","درع الجزيرة","gHwPAfYyzr9dhlcELaRtnfIQ3PXz2aeowRBeta58Z5w"
"136","5327","#9C0CLY88","CHARBEL SUCCAR","142","85","10","#PJUGGY0P","TOP OF JAPAN","rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ"
"137","5325","#GVPL8QP0","밀레니엄","167","178","10","#2P0YJP9G","49%","agr1Cy6wuAwSSGkLpZT18aUem8PnLb7ZU1Df_KAS2tU"
"138","5325","#28R28J80","Phil Senpai","163","142","13","#LL882JR9","U.S.A United™","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI"
"139","5325","#YL8YJL9R","아만다","143","101","8","#928J9GCP","대한민국•KOREA","SeshZACsOz6tLJ6BRuxDTUtg4tE4fABKfFI5B8BrOdc"
"140","5324","#89U0GCJJ","Komutan","172","128","7","#LL882JR9","U.S.A United™","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI"
"141","5323","#YLUUYU8G","gigginocirillo","144","234","18","#R9GC0R","Lo Tsunami","e1VRvDtsd-fA2Stvc4VsJWYAvld9mYGTSkff_260Av4"
"142","5322","#GVCJGLP0","タイガー","166","138","12","#PJUGGY0P","TOP OF JAPAN","rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ"
"143","5322","#LRCJP890","[BK]DeathSchyte","145","154","3","#LL882JR9","U.S.A United™","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI"
