"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL","bestTrophies","bestVersusTrophies","townHallLevel","builderHallLevel","versusBattleWins","warStars","legendTrophies","bestSeasonID","bestSeasonRank","bestSeasonTrophies","previousSeasonID","previousSeasonRank","previousSeasonTrophies","bestVersusSeasonID","bestVersusSeasonRank","bestVersusSeasonTrophies","previousVersusSeasonID","previousVersusSeasonRank","previousVersusSeasonTrophies","barbarian","archer","goblin","giant","wallBreaker","balloon","wizard","healer","dragon","pekka","minion","hogRider","valkyrie","golem","witch","lavaHound","bowler","babyDragonDay","miner","ragedBarbarian","sneakyArcher","betaMinion","boxerGiant","bomber","superPekka","cannonCart","dropShip","babyDragonNight","nightWitch","lightningSpell","healingSpell","rageSpell","jumpSpell","freezeSpell","poisonSpell","earthquakeSpell","hasteSpell","cloneSpell","skeletonSpell","barbarianKing","archerQueen","grandWarden","battleMachine","biggerCoffers","getThoseGoblins","biggerAndBetter","niceAndTidy","releaseTheBeasts","goldGrab","elixirEscapade","sweetVictory","empireBuilder","wallBuster","humiliator","unionBuster","conqueror","unbreakable","friendInNeed","mortarMauler","heroicHeist","leagueAllStar","xbowExterminator","firefighter","warHero","treasurer","antiArtillery","sharingIsCaring","keepYourVillageSafe","masterEngineering","nextGenerationModel","unBuildIt","championBuilder","highGear","hiddenTreasures","gamesChampion"
"213629","4992","#LL2PG9Q8","Vanquish","152","105","0","#9UULLRR9","" DERAILED "","SXhkUzBXQYmOYP0gFuFAbgDpVhJ8qyQ-zAZxrEogrlY","5054","2513","9","6","622","1570","16","2018-04","203011","5016","2018-05","213629","4992","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","7","12","4","12","1","1","12","1","10","4","6","6","5","2","1","3","3","2","NULL","1","20","20","NULL","10","11","153","9","4314","1","620577952","710572320","5054","5","43005","3118","11501","3889","408","198684","10455","4173293","22","2758","322","1570","303886235","65","4050","1","6","1","848","2513","2","1","1915"
"213782","4992","#2P0RVUR0R","Stemcell","196","208","1","#UYU8VL9L","Turk's 8.9","kMBE6wL8JLsbYi78b71yCog8bGac3XN8zG48HoggR5o","5342","3046","9","7","1356","1835","274","2017-02","48114","5002","2018-05","213782","4992","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","13","14","12","13","13","1","12","1","12","14","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","12","11","153","9","4305","1","1524186639","1449983137","5342","5","18357","6131","22212","7698","4093","495579","10417","8828327","22","2912","535","1835","305561359","76","10914","1","7","1","1727","3046","2","1","16550"
"214823","4989","#29UL08LRC","deyhan 24","135","235","2","#GJR0GP98","MALANGB0NG","ogJ2DGLZ64uW1EvAdZh9wXqITLjOrWNV-P3lLphBEZ4","5014","2726","9","7","525","848","0","2018-05","214823","4989","2018-05","214823","4989","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","1","2","NULL","2","NULL","12","12","10","11","8","1","2","1","12","2","6","6","5","2","1","2","3","2","NULL","1","11","17","NULL","5","11","153","9","2730","1","459757963","512215940","5014","5","28226","2439","9078","2882","379","102878","6302","2998191","22","2289","450","848","206186470","51","2279","1","7","1","367","2726","2","1","5425"
"215047","4989","#8U8CU9G2Y","KitKathy","111","355","17","#LYUQCV2Y","BadTaste⚡","j8e4iEwsiYdQFjaoHkud3He9LmtsMNxwkrZhSfnETUE","5006","1421","9","4","63","500","0","2018-05","215047","4989","2018-05","215047","4989","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","6","5","6","6","4","4","3","5","5","4","4","1","2","NULL","1","NULL","6","6","4","4","1","1","1","1","1","1","6","6","5","2","1","3","2","2","NULL","NULL","10","14","NULL","NULL","11","21","9","2606","1","342387329","327495473","5006","5","11005","1207","5030","1750","448","52093","3059","1979458","22","1049","174","500","93614395","10","605","1","4","1","75","1421","0","1","400"
"215124","4989","#9LJQCCL9V","GÈNÉRÁL BÒNY","134","119","1","NULL","NULL","NULL","5001","2708","9","7","568","445","0","2018-05","215124","4989","2018-05","215124","4989","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","11","10","10","12","6","1","12","1","9","6","6","6","5","2","1","3","3","2","NULL","1","10","15","NULL","5","11","32","9","1346","1","478781190","512430533","5001","5","15831","2058","8579","2607","56","111827","5820","3057404","22","1483","232","445","190566142","32","1952","1","7","1","646","2708","2","1","9100"
"216301","4986","#2LJRRCRJP","JAISON SOLIS","134","196","0","#PUJUC22C","ONLY FRIENDS","bj65Bko9uaVx_gJimojVJC7MTuycwQ2AeXoDtezJfM8","5019","2320","9","6","342","605","0","2018-05","216301","4986","2018-05","216301","4986","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","10","9","8","10","10","1","10","1","8","2","6","6","5","2","1","3","3","2","NULL","NULL","14","14","NULL","NULL","11","152","9","3230","1","576732413","683019054","5019","5","39880","2887","10271","3436","140","109360","8302","4333589","22","2454","352","605","178013438","24","1386","1","6","1","355","2320","1","1","5935"
"216429","4986","#2Y0VY2CUP","КОРОЛЬ СЕВЕРА","157","272","1","#Q0LGLL2P","House Stark","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU","5048","1495","9","4","185","903","0","2018-05","216429","4986","2018-05","216429","4986","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","8","8","8","8","3","1","1","1","4","1","6","6","5","2","1","3","3","2","NULL","1","20","30","NULL","NULL","11","153","9","3605","1","683168040","661186539","5048","5","23463","3780","12851","5133","546","246748","7195","3700502","22","2604","648","903","272473235","41","7042","1","4","1","222","1495","0","1","16325"
"216460","4985","#89UYLYG98","II-CESAR_504-II","125","332","0","#CPQ0V2CQ","Honduras #1.2","iv2Cv7G8IODZldmq2DDQdR46k2qIv0Eo2L8yYuGwOUw","5413","1527","9","4","85","1014","0","2018-05","216460","4985","2018-05","216460","4985","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","4","5","4","4","2","2","NULL","2","NULL","8","6","4","7","2","1","1","1","3","1","6","6","5","2","1","2","3","2","NULL","1","10","17","NULL","NULL","11","130","9","2188","1","525471131","550653909","5413","5","22010","1760","7518","2380","338","90270","5785","3260530","22","1386","162","1014","194058794","17","1418","1","4","1","78","1527","0","1","800"
"217711","4982","#2QQJ2QLJ0","<<<<W.A.R>>>>™","100","170","0","#PPRY0Y00","Savage 8.9","785cxXU5e-ulxWoqSLeUEynsbsNm0dFTSlTNGinvFYs","5011","1185","9","3","56","361","0","2018-05","217711","4982","2018-05","217711","4982","NULL","NULL","NULL","NULL","NULL","NULL","6","6","5","5","5","6","6","4","4","4","4","3","4","4","1","2","NULL","2","NULL","6","6","4","4","1","1","1","1","1","1","6","6","5","2","1","3","3","2","NULL","1","19","20","NULL","NULL","11","137","9","2670","1","1064650513","1056695116","5011","5","12016","1516","14367","3563","970","24196","5796","3157767","22","1120","120","361","55975144","15","402","1","3","1","53","1185","0","1","1965"
"218421","4980","#PGJUYYU29","HayThem","117","277","0","#R2RVUJQR","Vikings","PeXKa-im4BPhb6-nIscEweA6oxlMxItcTHqFv1TB5eQ","5170","4101","9","8","1074","273","0","2018-05","218421","4980","2018-05","218421","4980","NULL","NULL","NULL","NULL","NULL","NULL","5","5","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","16","14","14","11","10","1","1","1","14","14","6","6","5","2","1","3","1","2","NULL","1","23","30","NULL","5","11","69","9","1953","1","1015105042","1068933671","5170","5","21900","2449","9769","2976","92","34133","8355","6105369","22","3010","313","273","82721877","20","452","1","8","1","1366","4101","1","1","6225"
"218576","4980","#2VJY8QVJV","Zarif","127","215","0","#9PPY0GJG","ClanIKickIt?","Szv2ioumdUSaJW7acDvRZnpAPpSqXikq4QuKnKvhO1U","5037","2218","9","5","296","641","0","2018-05","218576","4980","2018-05","218576","4980","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","10","9","10","8","10","1","4","1","10","1","6","6","5","2","1","3","3","2","NULL","1","24","26","NULL","5","11","81","9","2863","1","759161921","918486007","5037","5","38548","3653","13971","4373","152","57091","10862","5832544","22","3396","644","641","226574744","79","922","1","5","1","417","2218","1","1","6115"
"218881","4979","#8UQP8J80V","我的村庄","132","392","0","#20UV0PR09","魔鬼集团","Ha7GqnHoMWJpwlF03t-T73lpPF3zviJeh09-h8QT7Lg","5060","2577","9","7","503","582","0","2018-05","218881","4979","2018-05","218881","4979","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","10","8","10","8","8","1","5","1","12","12","6","6","5","2","1","3","3","2","NULL","1","27","27","NULL","5","11","153","9","3181","1","1107795929","1147057903","5060","5","21245","2744","14639","4090","456","82087","9989","5862594","22","2741","260","582","136561767","49","990","1","7","1","489","2577","2","1","7950"
"219619","4977","#GQJLVJL0","caps-jojo","139","337","2","#9JG9PP2P","Excellency","oxvTf65n8dBjlsdGWuwo8NuTARnRqzmFP0gVr5b93K4","5031","2652","9","6","638","626","0","2018-05","219619","4977","2018-05","219619","4977","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","12","12","12","12","10","1","8","1","12","1","6","6","5","2","1","3","3","2","NULL","1","25","27","NULL","9","11","153","9","3589","1","1273214026","1358052121","5031","5","46197","4875","17859","5840","596","100822","15094","7235148","22","4265","592","626","158689406","66","2024","1","6","1","688","2652","2","1","15025"
